客流数据(单位：万人次),,,,,,,,
日期,1号线,2号线,3号线,4号线,5号线,4号线支线,11号线,总量
2020-06-01,27.63,26.86,11.81,23.85,0,3.15,0,93.3
2020-06-02,26.53,25.75,11.41,22.78,0,3.01,0,89.48
2020-06-03,25.77,24.88,10.97,22.05,0,2.95,0,86.62
2020-06-04,27.13,25.89,11.42,23.14,0,2.99,0,90.57
2020-06-05,25.51,25.56,10.98,21.95,0,3.05,0,87.05
2020-06-06,25.7,22.91,10.55,22.07,0,2.39,0,83.62
2020-06-07,23.19,21.87,9.74,21.03,0,2.44,0,78.27
2020-06-08,27.66,27.34,11.7,24.24,0,3.16,0,94.1
2020-06-09,26.89,26.16,11.47,23.3,0,3.01,0,90.83
2020-06-10,26.58,25.7,11.33,22.85,0,2.93,0,89.39
2020-06-11,26.73,25.83,11.38,22.96,0,2.96,0,89.86
2020-06-12,28.44,27.92,12.07,24.42,0,3.38,0,96.23
2020-06-13,24.33,22.16,10.07,21.49,0,2.35,0,80.4
2020-06-14,20.93,20.3,9.02,19.59,0,2.28,0,72.12
2020-06-15,24.34,24.96,10.72,21.48,0,2.9,0,84.4
2020-06-16,24.98,24.89,10.89,21.76,0,2.92,0,85.44
2020-06-17,27.23,26.39,11.65,23.47,0,3.11,0,91.85
2020-06-18,26.36,25.4,11.38,22.37,0,2.98,0,88.49
2020-06-19,29.49,28.25,12.42,24.87,0,3.24,0,98.27
2020-06-20,23.49,21.4,9.75,20.36,0,2.44,0,77.44
2020-06-21,18.6,18.02,7.9,16.76,0,2.05,0,63.33
2020-06-22,26.9,26.38,11.61,23,0,3.01,0,90.9
2020-06-23,25.98,25.48,11.16,22.41,0,2.92,0,87.95
2020-06-24,29.99,30.54,12.57,26.43,0,3.52,0,103.05
2020-06-25,28.21,24.85,11.43,24.53,0,2.37,0,91.39
2020-06-26,26.81,22.89,10.5,22.64,0,2.17,0,85.01
2020-06-27,20.55,20.92,8.57,18.57,0,1.99,0,70.6
2020-06-28,25.59,25.62,11.09,22.29,0,2.75,0,87.34
2020-06-29,27.16,26.54,11.78,22.84,0,2.83,0,91.15
2020-06-30,29.28,28.15,12.71,25,0,2.96,0,98.1
2020-07-01,28.66,27.54,12.62,24.63,0,2.91,0,96.36
2020-07-02,27.81,26.99,12.08,23.71,0,2.88,0,93.47
2020-07-03,30.02,29.35,12.83,25.37,0,3.11,0,100.68
2020-07-04,25.41,23.75,10.74,22.48,0,2.47,0,84.85
2020-07-05,18.6,18.62,8.13,17.56,0,1.92,0,64.83
2020-07-06,25.42,25.89,11.4,22.02,0,2.7,0,87.43
2020-07-07,28.34,27.66,12.46,24.58,0,2.91,0,95.95
2020-07-08,28.24,27.31,12.46,24.21,0,2.96,0,95.18
2020-07-09,28.1,27.16,12.28,24.12,0,2.83,0,94.49
2020-07-10,31.02,29.64,13.1,25.87,0,2.95,0,102.58
2020-07-11,24.96,23.1,10.49,21.68,0,2.22,0,82.45
2020-07-12,26.34,24.21,11.37,23.39,0,2.24,0,87.55
